,City,Country,"Lat, Long",Lat,Lon,OWM City #,OWM City Name,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,rio gallegos,ar,"(-51.622613, -69.218127)",-51.622613,-69.218127,3838859.0,Rio Gallegos,41.56,96.025,46.7,15.9875
1,ushuaia,ar,"(-54.8, -68.3)",-54.8,-68.3,3833367.0,Ushuaia,36.34,99.8,62.4,5.4565
2,punta arenas,cl,"(-53.15, -70.916667)",-53.15,-70.916667,3874787.0,Punta Arenas,42.58,99.85,39.4,15.443999999999999
3,riverton,nz,"(-46.35, 168.016667)",-46.35,168.016667,2206957.0,Riverton,47.66,92.325,75.9,13.147499999999999
4,wyndham,nz,"(-46.333333, 168.85)",-46.333333,168.85,2178933.0,Wyndham,46.58,90.575,79.5,12.8385
5,clyde,nz,"(-45.183333, 169.316667)",-45.183333,169.316667,2192264.0,Clyde,43.02,80.675,25.6,4.309749999999999
6,ranfurly,nz,"(-45.133333, 170.1)",-45.133333,170.1,2183774.0,Ranfurly,43.05,78.125,41.1,7.03625
7,coihaique,cl,"(-45.566667, -72.066667)",-45.566667,-72.066667,3894426.0,Coihaique,44.13,74.375,53.7,6.42225
8,outram,nz,"(-45.866667, 170.233333)",-45.866667,170.233333,2186656.0,Momona,46.83,87.95,35.9,12.924000000000001
9,winton,nz,"(-46.15, 168.333333)",-46.15,168.333333,2206968.0,Winton,46.58,90.575,79.5,12.8385
10,waitati,nz,"(-45.75, 170.566667)",-45.75,170.566667,2179825.0,Waitati,46.83,87.95,35.9,12.924000000000001
11,dunedin,nz,"(-45.866667, 170.5)",-45.866667,170.5,2191562.0,Dunedin,46.83,87.95,35.9,12.924000000000001
12,tuatapere,nz,"(-46.133333, 167.683333)",-46.133333,167.683333,2180815.0,Tuatapere,46.85,100.0,81.4,15.948500000000001
13,edendale,nz,"(-46.316667, 168.783333)",-46.316667,168.783333,2178933.0,Wyndham,46.58,90.575,79.5,12.8385
14,comodoro rivadavia,ar,"(-45.864135, -67.496558)",-45.864135,-67.496558,3860443.0,Comodoro Rivadavia,53.0,91.95,15.2,20.94775
15,purranque,cl,"(-40.916667, -73.166667)",-40.916667,-73.166667,3874579.0,Purranque,52.88,91.7,72.1,6.776749999999998
16,lincoln,nz,"(-43.65, 172.483333)",-43.65,172.483333,2188371.0,Lincoln,54.76,79.225,30.9,13.520249999999999
17,san carlos de bariloche,ar,"(-41.140293, -71.301369)",-41.140293,-71.301369,7647007.0,San Carlos de Bariloche,51.15,83.6,53.0,3.5519999999999996
18,masterton,nz,"(-40.959722, 175.6575)",-40.959722,175.6575,2206890.0,Masterton,50.88,88.125,42.0,11.211749999999999
19,seddon,nz,"(-41.666667, 174.083333)",-41.666667,174.083333,6243932.0,Riverlands,54.39,97.375,9.2,8.016250000000001
20,rolleston,nz,"(-43.583333, 172.383333)",-43.583333,172.383333,2183310.0,Rolleston,54.76,79.225,30.9,13.520249999999999
21,bluff,nz,"(-46.6, 168.333333)",-46.6,168.333333,2206939.0,Bluff,49.66,99.75,80.0,22.376749999999998
22,invercargill,nz,"(-46.4, 168.35)",-46.4,168.35,2189529.0,Invercargill,46.58,90.575,79.5,12.8385
23,milton,nz,"(-46.120833, 169.969444)",-46.120833,169.969444,2208242.0,Milton,46.85,85.4,59.1,16.25875
24,sanson,nz,"(-40.216667, 175.416667)",-40.216667,175.416667,2182968.0,Sanson,54.3,99.475,41.4,17.07
25,hanmer springs,nz,"(-42.516667, 172.816667)",-42.516667,172.816667,2190299.0,Hanmer Springs,49.08,81.7,27.9,6.948499999999998
26,fairlie,nz,"(-44.1, 170.833333)",-44.1,170.833333,2184512.0,Pleasant Point,51.06,88.2,22.6,8.5685
27,murchison,nz,"(-41.8, 172.333333)",-41.8,172.333333,2186377.0,Murchison,45.59,87.0,44.4,2.4502499999999996
28,puerto montt,cl,"(-41.469848, -72.944745)",-41.469848,-72.944745,3874960.0,Puerto Montt,53.61,96.775,73.0,6.693250000000001
29,castro,cl,"(-42.463611, -73.808333)",-42.463611,-73.808333,3889146.0,Gamboa,52.75,95.725,73.4,7.4125
30,lara,au,"(-38.02388, 144.406174)",-38.02388,144.406174,2160560.0,Lara,52.33,89.4,29.6,5.5945
31,maungaturoto,nz,"(-36.1, 174.366667)",-36.1,174.366667,2187060.0,Maungaturoto,58.75,98.425,50.4,18.1535
32,katikati,nz,"(-37.55, 175.916667)",-37.55,175.916667,2189016.0,Katikati,52.72,88.45,46.6,9.115
33,warkworth,nz,"(-36.4, 174.666667)",-36.4,174.666667,2179639.0,Warkworth,57.6,95.65,60.2,16.27775
34,vilcun,cl,"(-38.65, -72.233333)",-38.65,-72.233333,3868210.0,Vilcun,48.12,86.875,68.6,7.00625
35,geelong,au,"(-38.153461, 144.358093)",-38.153461,144.358093,2165798.0,Geelong,55.09,98.825,44.2,9.00925
36,ruatoria,nz,"(-37.883333, 178.333333)",-37.883333,178.333333,2180991.0,Tolaga Bay,54.93,85.35,20.7,8.6405
37,freire,cl,"(-38.95, -72.633333)",-38.95,-72.633333,3889322.0,Freire,52.89,93.0,70.4,6.5905000000000005
38,burnham,nz,"(-43.616667, 172.316667)",-43.616667,172.316667,2192797.0,Burnham,54.76,79.225,30.9,13.520249999999999
39,lota,cl,"(-37.083333, -73.166667)",-37.083333,-73.166667,3881276.0,Lota,60.46,90.775,59.9,7.427250000000001
40,crib point,au,"(-38.35, 145.2)",-38.35,145.2,2169995.0,Crib Point,54.93,97.925,44.7,6.561
41,loncoche,cl,"(-39.366667, -72.633333)",-39.366667,-72.633333,3882582.0,Loncoche,52.04,93.675,72.7,6.0075
42,launceston,au,"(-41.438759, 147.134674)",-41.438759,147.134674,2155392.0,Newstead,52.42,95.625,39.1,3.5564999999999998
43,ballarat,au,"(-37.56266, 143.862579)",-37.56266,143.862579,8014922.0,Ballarat Central,50.61,85.125,31.4,5.9205000000000005
44,kaeo,nz,"(-35.1, 173.783333)",-35.1,173.783333,2189343.0,Kaeo,58.08,87.4,40.0,11.7625
45,olavarria,ar,"(-36.892715, -60.32254)",-36.892715,-60.32254,3842670.0,Olavarria,61.3,59.15,12.9,9.0425
46,rongotea,nz,"(-40.3, 175.416667)",-40.3,175.416667,2183299.0,Rongotea,54.3,99.475,41.4,17.07
47,hobart,au,"(-42.883209, 147.331665)",-42.883209,147.331665,2163355.0,Hobart,52.39,83.625,22.2,4.59075
48,wairoa,nz,"(-39.033333, 177.366667)",-39.033333,177.366667,2206808.0,Wairoa,57.41,95.125,37.0,17.350749999999998
49,athenree,nz,"(-37.466667, 175.916667)",-37.466667,175.916667,2193747.0,Athenree,56.37,83.625,40.8,8.63425
50,ararat,au,"(-37.285419, 142.927277)",-37.285419,142.927277,2177756.0,Ararat,49.42,86.2,40.5,4.47475
51,port shepstone,za,"(-30.741369, 30.454992)",-30.741369,30.454992,964406.0,Port Shepstone,75.23,80.55,6.3,11.46875
52,ahipara,nz,"(-35.166667, 173.166667)",-35.166667,173.166667,2194098.0,Ahipara,58.62,95.275,72.9,15.542750000000002
53,aliwal north,za,"(-30.693664, 26.711407)",-30.693664,26.711407,1023309.0,Aliwal North,64.4,59.225,10.3,5.6265
54,dom pedrito,br,"(-30.983333, -54.666667)",-30.983333,-54.666667,3464547.0,Dom Pedrito,63.36,83.0,27.7,5.82575
55,mercedes,ar,"(-34.651455, -59.430676)",-34.651455,-59.430676,3430708.0,Mercedes,61.12,57.3,15.0,8.71675
56,craigieburn,au,"(-37.6, 144.95)",-37.6,144.95,2170089.0,Craigieburn,50.9,97.9,52.0,2.8275
57,carmelo,uy,"(-33.9891667, -58.2855556)",-33.9891667,-58.2855556,3443341.0,Carmelo,64.69,89.825,19.5,11.3445
