,Account,Text,Date,datetime,compound,neg,neu,pos
0,BBC North America,Maryland shooting: Gazette staff publish Friday edition https://t.co/2ZF96p6BuP,2018-06-29,2018-06-29 03:21:11-04:00,0.0,0.0,1.0,0.0
1,BBC North America,Annapolis shooting: How journalists tweeted their ordeal https://t.co/ko8lM3blnF,2018-06-28,2018-06-28 18:49:24-04:00,0.0,0.0,1.0,0.0
2,BBC North America,"RT @BBCBreaking: Several people dead in shooting at newspaper building in US city of Annapolis in Maryland, officials confirm https://t.co/…",2018-06-28,2018-06-28 16:44:03-04:00,-0.6486,0.185,0.815,0.0
3,BBC North America,Police confirm 'shooting incident' at Maryland newspaper office https://t.co/QWxFyO8K3V,2018-06-28,2018-06-28 15:41:53-04:00,0.0,0.0,1.0,0.0
4,BBC North America,Women fear abortion rights under threat https://t.co/0KvjaZG3su,2018-06-28,2018-06-28 14:58:10-04:00,-0.765,0.569,0.431,0.0
5,BBC North America,"RT @Tara_Mckelvey: Here at Foxconn in Wisconsin, I asked the president about his Putin meeting. The president smiled and a moment later sai…",2018-06-28,2018-06-28 14:42:19-04:00,0.5423,0.0,0.851,0.149
6,BBC North America,Charlottesville car attack suspect charged with hate crime https://t.co/sJ9KsshuoC,2018-06-28,2018-06-28 12:41:49-04:00,-0.9231,0.781,0.219,0.0
7,BBC North America,RT @BBCRajiniV: My goal for this #worldcup2018 - see how many pics I can get of fans from different countries. It’s like a real life @Offic…,2018-06-28,2018-06-28 12:16:04-04:00,0.3612,0.0,0.898,0.102
8,BBC North America,"ICYMI, this four-year-old's paintings are worth thousands of dollars https://t.co/G9wKyal49O https://t.co/gf8sZD4xTB",2018-06-28,2018-06-28 12:10:16-04:00,0.2263,0.0,0.84,0.16
9,BBC North America,Benghazi attack: Libyan militant jailed for 22 years in US https://t.co/bDRdh3syGz,2018-06-28,2018-06-28 06:56:06-04:00,-0.743,0.412,0.588,0.0
10,BBC North America,XXXTentacion fans queue to pay respects at Florida service https://t.co/WU2yrBQWsq,2018-06-28,2018-06-28 01:05:38-04:00,0.2263,0.12,0.684,0.197
11,BBC North America,Trump begins Supreme Court search to replace Anthony Kennedy https://t.co/8ey1YLP0XR,2018-06-28,2018-06-28 00:22:01-04:00,0.5574,0.0,0.714,0.286
12,BBC North America,"RT @sam_granville: ""Congressman Crowley knows 20,000 people. He could have won.""- @theabstoddard on #Beyond100Days w/@trowynt and @Christia…",2018-06-27,2018-06-27 18:28:43-04:00,0.0,0.0,1.0,0.0
13,BBC North America,Supreme Court: Why a fight over US abortion law now looms https://t.co/4Z76AmvAWq,2018-06-27,2018-06-27 18:11:28-04:00,0.1027,0.266,0.506,0.228
14,BBC North America,Five attempts to make toys more inclusive https://t.co/F6ENo98IxO,2018-06-27,2018-06-27 17:36:13-04:00,0.0,0.0,1.0,0.0
15,BBC North America,Flamingo that escaped a zoo in 2005 spotted in Texas https://t.co/1zLq80fM5e,2018-06-27,2018-06-27 15:52:46-04:00,0.0,0.0,1.0,0.0
16,BBC North America,Antwon Rose: Pittsburgh officer charged with criminal homicide https://t.co/jXylvU2AnH,2018-06-27,2018-06-27 15:26:20-04:00,-0.6369,0.426,0.574,0.0
17,BBC North America,RT @BBCJonSopel: Surreal discussion going on in Oval Office right now between Portugese President and @realDonaldTrump on how good a player…,2018-06-27,2018-06-27 15:06:31-04:00,0.4404,0.0,0.868,0.132
18,BBC North America,RT @awzurcher: Your daily “elections have consequences” reminder. If Hillary Clinton had won we’d be looking at a 6-3 liberal majority on t…,2018-06-27,2018-06-27 14:52:27-04:00,0.5719,0.0,0.85,0.15
19,BBC North America,Trump Supreme Court pick: Why is the US top court so important? https://t.co/IYs39xG0rJ,2018-06-27,2018-06-27 14:45:57-04:00,0.7574,0.0,0.572,0.428
20,BBC North America,Trump-Putin summit agreed by US and Russia in principle https://t.co/Vyv0Fo4Jqn,2018-06-27,2018-06-27 14:35:23-04:00,0.2732,0.0,0.811,0.189
21,BBC North America,"RT @awzurcher: Without Anthony Kennedy on the US Supreme Court, there really won't be a swing justice. Whoever replaces him will move the C…",2018-06-27,2018-06-27 14:27:41-04:00,0.2081,0.101,0.767,0.132
22,BBC North America,"RT @BBCBreaking: A Supreme Court justice is to retire, giving President Trump the chance to reshape the top US court https://t.co/OC80dTFbCL",2018-06-27,2018-06-27 14:19:01-04:00,0.9042,0.0,0.532,0.468
23,BBC North America,US Supreme Court judge to retire https://t.co/XExux0wvjX,2018-06-27,2018-06-27 14:17:21-04:00,0.5574,0.0,0.625,0.375
24,BBC North America,Joe Jackson: Patriarch of Jackson family dies aged 89 https://t.co/3BOQ5lKedG,2018-06-27,2018-06-27 12:44:17-04:00,0.0,0.0,1.0,0.0
25,BBC North America,RT @HarryLow49: Mexico City erupts as South Korea's second goal goes in https://t.co/CSTADxowPG,2018-06-27,2018-06-27 11:59:13-04:00,0.0,0.0,1.0,0.0
26,BBC North America,RT @HarryLow49: Lots of worried faces inside this bar in Mexico City #MEXSWE https://t.co/RfWxHQEa0s,2018-06-27,2018-06-27 11:39:05-04:00,-0.296,0.145,0.855,0.0
27,BBC North America,Alexandria Ocasio-Cortez: Millennial beats veteran Democrat https://t.co/xakzGLRAW3,2018-06-27,2018-06-27 05:06:17-04:00,0.0,0.0,1.0,0.0
28,BBC North America,Deadly explosion at Texas hospital leaves one dead https://t.co/gUcNdS0wAK,2018-06-26,2018-06-26 20:56:27-04:00,-0.6486,0.35,0.65,0.0
29,BBC North America,"RT @sam_granville: ""The President does what the president wants to do.""
@emilyjanefox on #Beyond100Days talking about her new book Born Tru…",2018-06-26,2018-06-26 16:27:14-04:00,0.0,0.0,1.0,0.0
30,BBC North America,"RT @Tara_Mckelvey: In the East Room, I watched President Trump help Pauline Lyda Wells Conner, the widow of a World War II hero, First Lt G…",2018-06-26,2018-06-26 16:17:38-04:00,0.5267,0.121,0.621,0.258
31,BBC North America,Canadian tycoon's son Blake Leibel gets life for 'savage' murder https://t.co/XvKYl8Fbnd,2018-06-26,2018-06-26 16:09:10-04:00,-0.6908,0.32,0.68,0.0
32,BBC North America,NSA contractor Reality Winner admits leak https://t.co/6TJTuLc2I1,2018-06-26,2018-06-26 16:06:29-04:00,0.5574,0.194,0.323,0.484
33,BBC North America,Migrant family separations: States sue Trump administration https://t.co/H5LgMqJ3cC,2018-06-26,2018-06-26 15:40:34-04:00,0.0,0.0,1.0,0.0
34,BBC North America,US college quarterback 'had brain disorder' before suicide https://t.co/7vDdLkcCCg,2018-06-26,2018-06-26 14:10:23-04:00,-0.802,0.507,0.493,0.0
35,BBC North America,"RT @colleenhagerty: It's #ElectionDay in Oklahoma, and an unprecedented number of teachers are on the ballot. Here's why: https://t.co/kBlR…",2018-06-26,2018-06-26 12:23:52-04:00,0.0772,0.0,0.933,0.067
